代码,名称,总市值,成交量
600575,淮河能源,24653765065.0,399966
601166,兴业银行,438282731109.0,671490
002850,科达利,43812209756.0,58127
920185,贝特瑞,37089441552.0,161006
600031,三一重工,204956648901.0,934790
000661,长春高新,41605548583.0,159742
601689,拓普集团,125993079550.0,458124
002602,世纪华通,142770116577.0,2489314
000157,中联重科,75069285848.0,835409
000029,深深房Ａ,21548358000.0,79899
000729,燕京啤酒,33540618158.0,211559
601607,上海医药,65971756582.0,246563
600009,上海机场,79725549802.0,206797
601666,平煤股份,20792017330.0,475338
600850,电科数字,22045241196.0,484471
600518,康美药业,26966348546.0,5035246
000776,广发证券,171207582453.0,970760
601688,华泰证券,214026940366.0,1117708
000792,盐湖股份,176103534164.0,2080980
002736,国信证券,136727269851.0,463696
002422,科伦药业,53374982625.0,153699
600699,均胜电子,46042378015.0,685228
601766,中国中车,199170116771.0,1002982
600085,同仁堂,43749901358.0,118108
601001,晋控煤业,23783277000.0,156107
000596,古井贡酒,72412914000.0,34303
601567,三星医疗,34540047052.0,374721
002389,航天彩虹,25430531662.0,985630
600111,北方稀土,180717141442.0,1518109
001979,招商蛇口,81865572113.0,720595
601169,北京银行,115017834440.0,1255739
601077,渝农商行,74274780000.0,813067
601598,中国外运,42755557313.0,242907
603444,吉比特,34003399672.0,28726
601228,广州港,26707640983.0,1085198
601658,邮储银行,634101882438.0,1583507
000629,钒钛股份,32332498501.0,2657306
600048,保利发展,76132020138.0,1690112
003021,兆威机电,29400099548.0,86266
600901,江苏金租,35735815879.0,427341
601665,齐鲁银行,34399979715.0,649865
600312,平高电气,26364981034.0,708274
603766,隆鑫通用,29612073477.0,275377
002821,凯莱英,37501746880.0,91383
600012,皖通高速,24723324634.0,46947
601288,农业银行,2614373263031.0,4883196
600018,上港集团,124314989091.0,370504
603129,春风动力,39873120672.0,19309
002460,赣锋锂业,145699294134.0,1185922
000002,万  科Ａ,56551562893.0,1950981
000963,华东医药,68617303398.0,168974
603565,中谷物流,20811625351.0,158379
603885,吉祥航空,31908316965.0,180396
601238,广汽集团,84635646970.0,551548
920982,锦波生物,27244020552.0,17669
600483,福能股份,25994288430.0,282132
601963,重庆银行,35961988677.0,99335
600000,浦发银行,378021264705.0,496201
002472,双环传动,38044077853.0,295089
000069,华侨城Ａ,20576660616.0,1129784
600010,包钢股份,115938865531.0,10096698
600015,华夏银行,105675125028.0,570392
600029,南方航空,138262635127.0,637909
600378,昊华科技,44324386943.0,118342
600926,杭州银行,113446889876.0,1208397
600893,航发动力,110328945511.0,704544
601877,正泰电器,64168213623.0,719853
601155,新城控股,32413300441.0,134505
600118,中国卫星,140846280870.0,1957532
601211,国泰海通,365800210952.0,1151977
600115,中国东航,130538523720.0,989310
601699,潞安环能,37841326380.0,293732
002851,麦格米特,52339850433.0,220558
002653,海思科,60061200731.0,62730
600515,海南机场,53356195841.0,1976194
301363,美好医疗,20416786650.0,430251
603298,杭叉集团,35915046384.0,118324
000738,航发控制,29223388502.0,735453
002326,永太科技,23155944729.0,843367
000425,徐工机械,130105405376.0,1163485
601777,千里科技,51359696807.0,425682
301301,川宁生物,26225799600.0,1035412
603596,伯特利,33691676051.0,243941
002773,康弘药业,31251206760.0,160152
002625,光启技术,113956152021.0,738108
689009,九号公司-WD,39107018530.0,104659
