date,code,fund_mo_cf916e1ce7
2020-12-23,sh.600009,-1.8756665851272678
2020-12-23,sh.600010,1.0076903815892924
2020-12-23,sh.600011,0.5211347239509287
2020-12-23,sh.600015,0.43294342646974693
2020-12-24,sh.600000,-0.0843317280300975
2020-12-24,sh.600009,-1.8761007352862675
2020-12-24,sh.600010,1.008169810712944
2020-12-24,sh.600011,0.5169096520366828
2020-12-24,sh.600015,0.43535300056673815
2020-12-25,sh.600000,-0.08228735799315469
2020-12-25,sh.600009,-1.8755240474663528
2020-12-25,sh.600010,1.0137332322670385
2020-12-25,sh.600011,0.5062551160011007
2020-12-25,sh.600015,0.43782305719136844
2020-12-28,sh.600000,-0.0792042549927338
2020-12-28,sh.600009,-1.876891562129407
2020-12-28,sh.600010,1.0114309904581305
2020-12-28,sh.600011,0.5024678092115114
2020-12-28,sh.600015,0.4421970174524989
2020-12-29,sh.600000,-0.08300516385163649
2020-12-29,sh.600009,-1.8764420968421038
2020-12-29,sh.600010,1.0084163474058254
2020-12-29,sh.600011,0.5138675833201691
2020-12-29,sh.600015,0.43716332996774604
2020-12-30,sh.600000,-0.0864974596914636
2020-12-30,sh.600009,-1.8744570109978145
2020-12-30,sh.600010,1.0129405568365821
2020-12-30,sh.600011,0.5159315396482399
2020-12-30,sh.600015,0.43208237420445583
2020-12-31,sh.600000,-0.09024665799601059
2020-12-31,sh.600009,-1.8744488826653516
2020-12-31,sh.600010,1.00734759272502
2020-12-31,sh.600011,0.530104547150132
2020-12-31,sh.600015,0.42724340078621015
2021-01-04,sh.600000,-0.08739415834707592
2021-01-04,sh.600009,-1.876617486638573
2021-01-04,sh.600010,1.00098043881571
2021-01-04,sh.600011,0.5314789847120676
2021-01-04,sh.600015,0.43155222145787137
2021-01-05,sh.600000,-0.09187545663263429
2021-01-05,sh.600009,-1.875197785934193
2021-01-05,sh.600010,1.0008794833458377
2021-01-05,sh.600011,0.5408343619463326
2021-01-05,sh.600015,0.42535939727465694
2021-01-06,sh.600000,-0.09096691813852256
2021-01-06,sh.600009,-1.8770934725760238
2021-01-06,sh.600010,0.9924562013110072
2021-01-06,sh.600011,0.5485229161047681
2021-01-06,sh.600015,0.42708127329877105
2021-01-07,sh.600000,-0.0879232188182566
2021-01-07,sh.600009,-1.8785369616565237
2021-01-07,sh.600010,0.9900874491991206
2021-01-07,sh.600011,0.5449462944183353
2021-01-07,sh.600015,0.431426436857324
2021-01-08,sh.600000,-0.08641048707775861
2021-01-08,sh.600009,-1.8786160584649236
2021-01-08,sh.600010,0.9922637286079344
2021-01-08,sh.600011,0.5393619543439745
2021-01-08,sh.600015,0.4334008625907735
2021-01-11,sh.600000,-0.08778777563864701
2021-01-11,sh.600009,-1.878995202787297
2021-01-11,sh.600010,0.9878519967944679
2021-01-11,sh.600011,0.5471969093820057
2021-01-11,sh.600015,0.4317340722494701
2021-01-12,sh.600000,-0.08582763664947927
2021-01-12,sh.600009,-1.8798876548890897
2021-01-12,sh.600010,0.9864700393718526
2021-01-12,sh.600011,0.544723675335248
2021-01-12,sh.600015,0.43452157683146825
2021-01-13,sh.600000,-0.0793381641895519
2021-01-13,sh.600009,-1.8831917674398522
2021-01-13,sh.600010,0.9796775859981174
2021-01-13,sh.600011,0.5390007646934237
2021-01-13,sh.600015,0.44385158093786287
2021-01-14,sh.600000,-0.07763866435097641
2021-01-14,sh.600009,-1.8824554661239914
2021-01-14,sh.600010,0.9863387535246332
2021-01-14,sh.600011,0.5279249300497839
2021-01-14,sh.600015,0.44583044690055074
2021-01-15,sh.600000,-0.08108150426314747
2021-01-15,sh.600009,-1.8824652625009026
2021-01-15,sh.600010,0.9806745576100167
2021-01-15,sh.600011,0.541480322200244
2021-01-15,sh.600015,0.44139188695378945
2021-01-18,sh.600000,-0.08068329589992293
2021-01-18,sh.600009,-1.8829819550355402
2021-01-18,sh.600010,0.9785294390382623
2021-01-18,sh.600011,0.5430803587004197
2021-01-18,sh.600015,0.4420554531967813
2021-01-19,sh.600000,-0.07926422398486027
2021-01-19,sh.600009,-1.883891386815625
2021-01-19,sh.600010,0.9759654549359138
2021-01-19,sh.600011,0.5430402714815551
2021-01-19,sh.600015,0.44414988438301617
2021-01-20,sh.600000,-0.07867127047290214
2021-01-20,sh.600009,-1.883749252900306
2021-01-20,sh.600010,0.977762879114557
2021-01-20,sh.600011,0.539784050636361
2021-01-20,sh.600015,0.44487359362229006
2021-01-21,sh.600000,-0.07794112465960013
2021-01-21,sh.600009,-1.8852698731936468
2021-01-21,sh.600010,0.9705649178226488
2021-01-21,sh.600011,0.5463895283359879
2021-01-21,sh.600015,0.44625655169461026
2021-01-22,sh.600000,-0.07900247732978714
2021-01-22,sh.600009,-1.8844480387193485
2021-01-22,sh.600010,0.9733194832892972
2021-01-22,sh.600011,0.5454820333828673
2021-01-22,sh.600015,0.4446489993769713
2021-01-25,sh.600000,-0.08174287892903058
2021-01-25,sh.600009,-1.883078108488362
2021-01-25,sh.600010,0.9761277536472517
2021-01-25,sh.600011,0.5479767967413633
2021-01-25,sh.600015,0.4407164370287776
2021-01-26,sh.600000,-0.08316244619820816
2021-01-26,sh.600009,-1.8827562529577513
2021-01-26,sh.600010,0.9753609588204838
2021-01-26,sh.600011,0.5517659528891731
2021-01-26,sh.600015,0.4387917874463024
2021-01-27,sh.600000,-0.08348414762488546
2021-01-27,sh.600009,-1.8830694288889291
2021-01-27,sh.600010,0.972972060094778
2021-01-27,sh.600011,0.5551139031343441
2021-01-27,sh.600015,0.43846761328469264
2021-01-28,sh.600000,-0.08503673532536768
2021-01-28,sh.600009,-1.8824833868826207
2021-01-28,sh.600010,0.9733942656052829
2021-01-28,sh.600011,0.5578311192332378
2021-01-28,sh.600015,0.4362947373694676
2021-01-29,sh.600000,-0.08570656820561995
2021-01-29,sh.600009,-1.8842075047135622
2021-01-29,sh.600010,0.9632523958379987
2021-01-29,sh.600011,0.5660899781394659
2021-01-29,sh.600015,0.4405716989417174
2021-02-01,sh.600000,-0.10454764923173282
2021-02-01,sh.600009,-1.8797363034323005
2021-02-01,sh.600010,0.9573920355954176
2021-02-01,sh.600011,0.5902841134618388
2021-02-01,sh.600015,0.4366078036067767
2021-02-02,sh.600000,-0.09712353892782447
2021-02-02,sh.600009,-1.8802630100771625
2021-02-02,sh.600010,0.9604516524691691
2021-02-02,sh.600011,0.5968766177394882
2021-02-02,sh.600015,0.4200582787963294
2021-02-03,sh.600000,-0.09746424244953489
2021-02-03,sh.600009,-1.8816616800569457
2021-02-03,sh.600010,0.949889803262429
2021-02-03,sh.600011,0.6092116913509299
2021-02-03,sh.600015,0.4200244278931215
2021-02-04,sh.600000,-0.1035574478800444
2021-02-04,sh.600009,-1.878665868657634
2021-02-04,sh.600010,0.9540152811673974
2021-02-04,sh.600011,0.6169129915809741
2021-02-04,sh.600015,0.4112950437893069
2021-02-05,sh.600000,-0.10060964062245993
2021-02-05,sh.600009,-1.882180798327822
2021-02-05,sh.600010,0.9406073048053788
2021-02-05,sh.600011,0.619727762804997
2021-02-05,sh.600015,0.4224553713399063
2021-02-08,sh.600000,-0.11342903135988018
2021-02-08,sh.600009,-1.8783447746254265
2021-02-08,sh.600010,0.94310127901893
2021-02-08,sh.600011,0.623476834357439
2021-02-08,sh.600015,0.42519569260893764
2021-02-09,sh.600000,-0.12162663687426047
2021-02-09,sh.600009,-1.8758258822247953
2021-02-09,sh.600010,0.9450693136203396
2021-02-09,sh.600011,0.6251183626255001
2021-02-09,sh.600015,0.42726484285321625
2021-02-10,sh.600000,-0.12932733444736227
2021-02-10,sh.600009,-1.873284660415685
2021-02-10,sh.600010,0.9491425495825948
2021-02-10,sh.600011,0.6224125834981219
2021-02-10,sh.600015,0.4310568617823305
2021-02-18,sh.600000,-0.14772809992425875
2021-02-18,sh.600009,-1.8672779542623412
2021-02-18,sh.600010,0.9558165015257549
2021-02-18,sh.600011,0.6215812187969159
2021-02-18,sh.600015,0.43760833386392894
2021-02-19,sh.600000,-0.15666094979396336
2021-02-19,sh.600009,-1.864054534978223
2021-02-19,sh.600010,0.962109574171784
2021-02-19,sh.600011,0.6152679706938274
2021-02-19,sh.600015,0.44333793990657483
2021-02-22,sh.600000,-0.1425817042519407
2021-02-22,sh.600009,-1.868030763287799
2021-02-22,sh.600010,0.9652861819053502
2021-02-22,sh.600011,0.6001247149837017
2021-02-22,sh.600015,0.4452015706506879
2021-02-23,sh.600000,-0.1640557538392719
2021-02-23,sh.600009,-1.8612802203183374
2021-02-23,sh.600010,0.9678121261415006
2021-02-23,sh.600011,0.6090208643651254
2021-02-23,sh.600015,0.4485029836509836
2021-02-24,sh.600000,-0.17213282599927446
2021-02-24,sh.600009,-1.8585748681194345
2021-02-24,sh.600010,0.9699069468595425
2021-02-24,sh.600011,0.610090873526203
2021-02-24,sh.600015,0.4507098737329635
2021-02-25,sh.600000,-0.18376469392398762
